Procedure,Category,Type,Task Object,Value,Human*,TARS,TARS*,Human,Criticality,Execution type,Constraint type,Time constraint (in s)
BEFORE TAKEOFF,NORM,Checklist,Takeoff clearance,CONFIRM,yellow,yellow,red,,,,,
BEFORE TAKEOFF,NORM,Checklist,Pitot-Static Switch,PITOT-STATIC,green,yellow,red,,,,,
BEFORE TAKEOFF,NORM,Checklist,ENGINE ANTI-ICE Switches,AS REQUIRED,yellow,yellow,red,,,,,
BEFORE TAKEOFF,NORM,Checklist,WINDSHIELD ANTI-ICE Switches,AS REQUIRED,yellow,yellow,red,,,,,
BEFORE TAKEOFF,NORM,Checklist,PAX SAFETY Switch,PAX SAFETY,green,yellow,red,,,,,
BEFORE TAKEOFF,NORM,Checklist,LANDING Light Switch,AS DESIRED,green,green,red,,,,,
BEFORE TAKEOFF,NORM,Checklist,ANTI-COLL Light Switch,ON,green,yellow,red,,,,,
BEFORE TAKEOFF,NORM,Checklist,Radar,AS REQUIRED,yellow,yellow,red,,,,,
LINE-UP AND HOLD,NORM,SOP,Runway centerline,ALIGN,yellow,red,red,,,,,
LINE-UP AND HOLD,NORM,SOP,Winds,CHECK,green,green,yellow,yellow,,,,
LINE-UP AND HOLD,NORM,SOP,Brakes,HOLD,green,red,red,,,,,
TAKEOFF,NORM,Checklist,CAS,CHECK CLEAR,yellow,yellow,green,,,,,
TAKEOFF,NORM,SOP,"""Set thrust""",ANNOUNCE,green,red,red,,,,,
TAKEOFF,NORM,SOP,THROTTLES,TO Detent,green,red,red,,,,,
TAKEOFF,NORM,SOP,FADEC bug,CHECK TO,yellow,yellow,green,,,,,
TAKEOFF,NORM,SOP,Engine spool,CHECK EVEN,yellow,yellow,green,,,,,
TAKEOFF,NORM,SOP,"""Thrust set""",ANNOUNCE,green,green,green,,,,,
TAKEOFF,NORM,Checklist,Engine Instruments,CHECK NORMAL,yellow,yellow,green,,,,,
TAKEOFF,NORM,Checklist,Brakes,RELEASE,yellow,red,red,,,,,
TAKEOFF,NORM,SOP,"""Airspeed's alive""",ANNOUNCE,yellow,green,green,,,,,
TAKEOFF,NORM,SOP,"""70 kts""",ANNOUNCE,yellow,green,green,,,,,
TAKEOFF,NORM,SOP,"""V1""",ANNOUNCE,yellow,green,green,,,,,
TAKEOFF,NORM,SOP,"""Rotate""",ANNOUNCE,yellow,green,green,,,,,
TAKEOFF,NORM,Checklist,Elevator Control,ROTATE,yellow,red,red,,,,,
TAKEOFF,NORM,SOP,Pitch,MAINTAIN 10°,yellow,red,red,,,,,
TAKEOFF,NORM,SOP,Slip/Skid,CHECK,yellow,yellow,red,,,,,
TAKEOFF,NORM,SOP,Climb rate,CHECK POSITIVE,yellow,yellow,green,,,,,
TAKEOFF,NORM,SOP,"""Positive rate, gear up""",ANNOUNCE,green,yellow,green,,,,,
TAKEOFF,NORM,SOP,LANDING GEAR,UP,green,red,red,,,,,
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Rudder,APPLY,yellow,red,red,,,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,Rudder,TRIM,yellow,green,yellow,yellow,,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,Alarm,ANNOUNCE,yellow,yellow,green,,,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,"""Reset Master Warning""",ANNOUNCE,green,red,red,,,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,Master Warning,RESET,green,red,red,,,,,
ENG FAILURE DURING TAKEOFF,EMER,SOP,Flight Director,SET TO MODE,yellow,green,green,,,,,
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Pitch,MAINTAIN 10°,yellow,red,red,,,,,
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,LANDING GEAR,UP,yellow,yellow,red,,,,,
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Airspeed,CHECK V2,yellow,yellow,green,,,,,
